trading_coin,reference_coin_count
CHR,1
ADA,1
KNC,1
STORJ,1
SNX,1
DEFI,1
GALA,1
FIL,1
ICX,2
BNB,2
IMX,2
INJ,2
AR,2
COTI,2
SXP,2
TRX,2
UNI,2
CRV,2
EGLD,2
ETC,3
1000LUNC,3
MANA,3
QNT,3
SKL,3
XRP,3
ZEC,3
ONT,3
DOT,3
GMT,3
ZRX,3
ANKR,3
AAVE,3
RLC,4
API3,4
FLOW,4
ATOM,4
CELR,5
SUSHI,5
ZEN,5
1INCH,6
DUSK,6
ALPHA,6
VET,7
OGN,7
CHZ,7
DOGE,8
RVN,8
BAND,8
IOST,8
ENS,9
SAND,9
ICP,9
AXS,11
GTC,11
1000SHIB,12
NKN,14
ONE,15
PEOPLE,17
C98,17
JASMY,18
XTZ,21
LRC,22
ZIL,22
XMR,24
CTSI,25
APE,27
HOT,29
COMP,30
ATA,32
ENJ,36
BAT,45
ALICE,46
DENT,48
BEL,58
LUNA2,58
SPELL,67
KAVA,79
