week_start,1000LUNC
2024-01-08,4
2024-01-15,2
2024-01-22,6
2024-01-29,9
2024-02-05,9
2024-02-12,5
2024-02-19,5
2024-02-26,8
2024-03-04,8
2024-03-11,2
2024-03-18,3
2024-03-25,7
2024-04-08,6
2024-04-15,1
2024-04-22,4
2024-04-29,1
2024-05-06,4
2024-05-13,5
2024-05-20,4
2024-05-27,4
2024-06-03,7
2024-06-10,4
2024-06-17,4
2024-06-24,5
2024-07-01,2
2024-07-08,3
2024-07-15,6
2024-07-22,5
2024-07-29,2
2024-08-05,4
2024-08-12,5
2024-08-19,5
2024-08-26,4
2024-09-02,1
2024-09-09,7
2024-09-16,3
2024-09-23,6
2024-09-30,7
2024-10-07,4
2024-10-14,5
2024-10-21,5
2024-10-28,4
2024-11-04,6
2024-11-11,6
2024-11-18,7
2024-11-25,8
2024-12-02,9
2024-12-09,4
2024-12-16,2
2024-12-23,5
2024-12-30,5
2025-01-06,5
2025-01-13,5
2025-01-20,3
2025-01-27,2
2025-02-03,5
2025-02-10,5
2025-02-17,3
2025-02-24,4
2025-03-03,3
2025-03-10,2
2025-03-17,4
2025-03-24,5
2025-03-31,4
2025-04-07,1
2025-04-14,3
2025-04-21,6
2025-04-28,5
2025-05-05,5
2025-05-12,5
2025-05-19,1
2025-05-26,3
2025-06-02,1
2025-06-09,5
2025-06-16,3
2025-06-23,1
2025-06-30,4
2025-07-07,6
2025-07-14,7
2025-07-21,3
2025-07-28,2
2025-08-04,2
2025-08-11,5
2025-08-18,4
2025-09-01,2
2025-09-08,1
